arj,
aspell,
aspell-de,
asunder,
build-essential,
chromium-browser,
curl,
dkms,
encfs,
filezilla,
firefox,
flac,
gedit,
gedit-plugins,
gimp,
hplip,
hplip-gui,
htop,
keepassx,
lame,
mc,
oracle-java8-installer,ppa:webupd8team/java
p7zip-full,
p7zip-rar,
pdftk,
perl-doc,
secure-delete,
synaptic,
thunderbird,
tmux,ppa:pi-rho/dev
tree,
ttf-mscorefonts-installer,
ubuntu-restricted-extras,
unace,
unrar,
unzip,
vagrant,
vim,
virtualbox,
virtualbox-dkms,
virtualbox-guest-dkms,
virtualbox-qt,
vlc,ppa:videolan/stable-daily
vorbis-tools,
wavpack,
wipe,
xfonts-terminus,
youtube-dl,
zip,
